Team1,Team2,Year,Team1Win,SRS,ORB,PF,3P,STL,AST,BLK,FT%,TS%,SEED
Iowa State,Connecticut,2014,0,1.2899999999999991,-9664.583333333334,-17957.694444444445,-7166.638888888889,-7019.055555555556,6.216666666666669,-2.8055555555555554,-84.0,7.0,-4.0
Kentucky,Louisville,2014,1,-6.620000000000001,0.4554054054054042,-1.2405405405405396,5067.216216216216,4715.0,-4.2013513513513505,1.224324324324325,21.0,-19.0,4.0
Tennessee,Michigan,2014,0,-1.1799999999999997,5.0,2.4324324324324333,-3.0810810810810807,0.027027027027027195,-1.4324324324324333,2.2702702702702697,-44.0,-47.0,9.0
Florida,UCLA,2014,1,2.2900000000000027,1.2591822591822588,-1.954954954954955,0.34927234927234885,-2.1905751905751902,-4.137907137907137,0.025641025641025106,-81.0,-27.0,-3.0
Stanford,Dayton,2014,0,2.869999999999999,-1.5503003003003002,-1.6974474474474484,-0.7897897897897908,-0.6944444444444446,-1.5803303303303284,1.683183183183183,21.0,-2.0,-1.0
Arizona,San Diego State,2014,1,8.41,-0.8187134502923978,-0.08771929824561653,0.2017543859649118,-1.742690058479532,5.216374269005847,-0.5307017543859649,-4.0,27.0,-3.0
Baylor,Wisconsin,2014,0,-3.8900000000000006,4.947368421052632,1.9473684210526336,-0.44736842105263186,0.36842105263157876,2.5,1.973684210526316,-745.32,-19.0,4.0
Connecticut,Michigan State,2014,1,-2.120000000000001,9664.605263157895,17956.026315789473,7166.921052631579,7018.184210526316,-4.563157894736843,1.1710526315789478,70.0,-11.0,3.0
Michigan,Kentucky,2014,0,0.4499999999999993,-5.50945945945946,-4.056756756756757,-5066.378378378378,-4719.8378378378375,3.039189189189189,-3.521621621621622,81.0,49.0,-6.0
Florida,Dayton,2014,1,10.14,0.015939015939014922,-4.225225225225225,-0.029106029106030107,1.0256410256410255,-0.056826056826055904,0.43104643104643037,-13.0,-3.0,-10.0
Arizona,Wisconsin,2014,0,3.669999999999998,3.3684210526315788,1.473684210526315,-2.447368421052632,1.0526315789473681,2.7894736842105257,1.2105263157894735,-87.0,-29.0,-1.0
Connecticut,Florida,2014,1,-3.460000000000001,9663.794871794871,17959.333333333332,7168.461538461538,7017.974358974359,-0.8512820512820536,2.724358974358975,109.0,10.0,6.0
Wisconsin,Kentucky,2014,0,1.620000000000001,-5.181578947368422,-3.1947368421052644,-5067.184210526316,-4720.184210526316,1.1657894736842103,-2.5578947368421057,64.0,32.0,-6.0
Connecticut,Kentucky,2014,1,-0.8399999999999999,9660.95,17956.7,2100.0,2300.0,1.049999999999999,-0.15000000000000036,95.0,19.0,-1.0
Boise State,Dayton,2015,0,-0.9700000000000006,1.681372549019609,1.200980392156863,2.0964052287581687,-0.8856209150326801,-1.5816993464052285,-0.20424836601307161,43.0,3.0,0.0
Hampton,Manhattan,2015,1,-6.91,1.4311688311688293,-1.4839826839826848,-0.9722943722943729,-1.2857142857142856,-3.3108225108225113,1.2406926406926404,-39.0,-41.0,0.0
North Florida,Robert Morris,2015,0,2.2,-0.8000000000000025,-2.342857142857145,2.742857142857141,-2.4571428571428573,2.2285714285714278,1.3142857142857145,14.0,49.0,0.0
Mississippi,Brigham Young,2015,1,-2.139999999999999,0.6184873949579828,-0.9529411764705884,-2.1008403361344534,-0.7252100840336135,-3.7361344537815135,0.8218487394957981,7.0,-57.0,0.0
Lafayette,Villanova,2015,0,-26.5,-1.7601010101010104,-0.9494949494949516,-1.1464646464646462,-2.237373737373738,-0.2575757575757578,-1.5404040404040402,36.0,0.0,15.0
NC State,Louisiana State,2015,1,2.719999999999999,-0.06818181818181834,2.058080808080806,0.828282828282827,-3.439393939393938,-4.108585858585856,-1.070707070707071,2.0,-7.0,-1.0
Wyoming,Northern Iowa,2015,0,-8.729999999999999,-1.1142857142857139,-0.7714285714285722,-1.37142857142857,-0.4571428571428573,2.514285714285716,0.5142857142857142,-31.0,-592.44,7.0
Louisville,UC Irvine,2015,1,14.490000000000002,2.934640522875819,0.30555555555555713,-0.882352941176471,2.155228758169934,-2.478758169934638,0.39215686274509665,-16.0,-32.0,-9.0
Providence,Dayton,2015,0,2.7300000000000004,5.0049019607843155,2.5539215686274535,-1.609477124183007,0.17320261437908435,0.3300653594771248,2.031045751633987,21.0,-39.0,-5.0
Oklahoma,Albany (NY),2015,1,18.99,0.9930735930735946,-0.19913419913419972,0.530735930735931,1.1047619047619044,1.7099567099567103,3.3653679653679665,-17.0,-14.0,-11.0
Georgia,Michigan State,2015,0,-5.040000000000001,-0.27039627039627234,-0.4988344988344977,-1.9627039627039622,0.34032634032634057,-4.109557109557109,0.06293706293706336,60.0,-0.020000000000000018,3.0
Virginia,Belmont,2015,1,21.38,1.2263814616755777,-2.4010695187165787,-4.969696969696969,-0.8627450980392153,-2.6256684491978604,2.2058823529411766,34.0,-46.0,-13.0
Hampton,Kentucky,2015,0,-36.97,-0.7040293040293033,4.434432234432233,0.3377289377289374,0.2271062271062272,-3.5509157509157525,-2.843223443223443,-74.0,-62.0,15.0
Cincinnati,Purdue,2015,1,-2.209999999999999,-0.7647058823529402,-3.9705882352941195,-0.8235294117647056,1.0882352941176459,-3.2647058823529402,0.23529411764705976,-682.33,-12.0,-1.0
Buffalo,West Virginia,2015,0,-7.1899999999999995,-3.7012987012986986,-4.881385281385285,-0.4554112554112555,-3.2277056277056264,-0.9930735930735946,1.2571428571428571,57.0,34.0,7.0
Maryland,Valparaiso,2015,1,7.03,-2.70504201680672,0.12689075630252233,0.4302521008403346,-1.1420168067226895,-2.2865546218487403,-0.30336134453781494,81.0,14.0,-9.0
Texas,Butler,2015,0,-0.4800000000000004,0.4117647058823515,-1.088235294117645,0.5882352941176467,-2.61764705882353,1.6176470588235272,4.764705882352941,38.0,9.0,5.0
Notre Dame,Northeastern,2015,1,17.2,-0.24887218045112824,0.03909774436090352,2.147368421052632,1.5082706766917289,0.872180451127818,-0.0541353383458647,15.0,31.0,-11.0
Indiana,Wichita State,2015,0,-2.620000000000001,0.1134453781512601,1.0521008403361343,2.5537815126050445,-2.1428571428571432,0.31176470588235183,-0.6521008403361348,18.0,32.0,3.0
Kansas,New Mexico State,2015,1,14.759999999999998,-0.7549019607843146,1.8382352941176485,1.063725490196079,0.14215686274509665,1.2532679738562091,1.2140522875816986,30.0,-9.0,-13.0
Robert Morris,Duke,2015,0,-27.99,-0.9245421245421248,3.007326007326009,-0.9421245421245423,1.4432234432234425,-2.848351648351649,-0.9633699633699635,10.0,-57.0,15.0
San Diego State,St. John's (NY),2015,1,-0.03999999999999915,2.012626262626263,-3.7323232323232336,-0.75,-0.5934343434343434,-1.8914141414141437,-1.391414141414141,-690.37,-33.0,-1.0
Stephen F. Austin,Utah,2015,0,-12.370000000000001,2.947058823529412,4.988235294117647,0.16302521008403392,1.674789915966386,3.5579831932773125,-1.4705882352941178,33.0,6.0,7.0
Georgetown,Eastern Washington,2015,1,14.690000000000001,1.0926406926406909,2.4138528138528095,-3.7376623376623384,1.3489177489177493,-0.03203463203463208,-0.04415584415584295,-22.0,-39.0,-9.0
Southern Methodist,UCLA,2015,0,0.8699999999999992,-0.8104575163398682,-1.7107843137254903,-1.9297385620915035,0.35947712418300704,1.5784313725490176,0.4330065359477122,27.0,28.0,-5.0
UAB,Iowa State,2015,1,-16.0,2.5555555555555554,2.0,-2.124183006535948,0.17156862745097978,-1.7254901960784306,1.199346405228758,42.0,-570.48,11.0
Davidson,Iowa,2015,0,-3.8599999999999994,-1.9430147058823515,3.016544117647058,5.071691176470588,-1.0680147058823533,2.9172794117647083,-1.7408088235294121,-39.0,51.0,3.0
Gonzaga,North Dakota State,2015,1,22.84,1.986443381180223,1.4904306220095709,-0.022328548644337864,1.2200956937799035,6.770334928229666,-0.41148325358851645,-1.0,72.0,-13.0
Coastal Carolina,Wisconsin,2015,0,-25.63,-9561.85294117647,-12508.558823529413,-0.49411764705882355,2.708823529411765,-1.2764705882352914,-3171.735294117647,-762.31,-48.0,15.0
Oregon,Oklahoma State,2015,1,-1.5199999999999996,1.364583333333334,-0.9930555555555571,0.24305555555555536,-2.15625,2.6736111111111107,-4870.638888888889,-725.24,10.0,-1.0
Wofford,Arkansas,2015,0,-11.51,-3.7984126984126974,-2.171428571428571,-0.2682539682539673,-1.1801587301587304,-2.9119047619047613,-2.180952380952381,-36.0,8.0,7.0
North Carolina,Harvard,2015,1,16.16,3.308771929824564,3.687719298245616,-0.024561403508771562,-0.4947368421052625,4.594736842105263,-0.28947368421052655,-18.0,24.0,-9.0
Mississippi,Xavier,2015,0,-4.029999999999999,2.809220985691571,1.7821939586645499,0.1462639109697932,0.5906200317965018,-2.872813990461051,0.8998410174880762,772.27,526.43,5.0
Georgia State,Baylor,2015,1,-12.380000000000003,-5.417647058823528,1.7252100840336126,-1.969747899159664,1.436134453781512,-0.9319327731092439,0.2033613445378144,51.0,562.47,11.0
Virginia Commonwealth,Ohio State,2015,0,-6.890000000000001,1.2761904761904788,3.0809523809523824,1.3960317460317464,1.9000000000000004,-2.590476190476192,-0.8357142857142854,656.32,-49.0,-3.0
Arizona,Texas Southern,2015,1,30.31,-0.4413533834586474,0.5210526315789501,-0.20676691729323338,1.1225563909774428,3.18045112781955,0.3330827067669171,58.0,44.0,-13.0
Villanova,NC State,2015,0,9.02,-1.7777777777777786,-1.1388888888888857,2.5,3.888888888888889,4.305555555555554,-1.0555555555555554,45.0,63.0,-7.0
Louisville,Northern Iowa,2015,1,5.580000000000002,5.325396825396825,2.791269841269843,-1.8428571428571425,1.9468253968253961,-0.16111111111111143,2.933333333333333,-65.0,-81.0,-1.0
Dayton,Oklahoma,2015,0,-7.669999999999998,-4.030952380952381,-0.3690476190476186,-0.1039682539682536,0.1730158730158733,1.3253968253968242,-2.4436507936507947,-55.0,33.0,8.0
Michigan State,Virginia,2015,1,-4.27,0.6500754147812984,4.687782805429865,2.5384615384615383,-0.26546003016591246,3.9170437405731544,0.30693815987933615,-94.0,-542.45,5.0
Cincinnati,Kentucky,2015,0,-18.0,-1.3250377073906474,-2.1395173453996996,-0.29336349924585203,0.04223227752639502,-2.591251885369532,-1.430618401206635,-725.33,-31.0,7.0
West Virginia,Maryland,2015,1,1.799999999999999,7.4571428571428555,6.771428571428569,-0.8857142857142852,5.914285714285714,3.371428571428572,-1.5714285714285712,-94.0,-63.0,1.0
Butler,Notre Dame,2015,0,-2.59,3.7631578947368425,3.201238390092877,-2.3003095975232197,-0.3544891640866865,-3.7755417956656316,-0.6021671826625385,-56.0,-90.0,3.0
Wichita State,Kansas,2015,1,-2.9099999999999984,0.023809523809523725,-0.9785714285714278,0.9119047619047613,0.5595238095238102,0.405555555555555,-1.032539682539682,-23.0,2.0,5.0
San Diego State,Duke,2015,0,-13.159999999999998,0.7841880341880341,-1.5085470085470085,-2.0064102564102564,-0.2670940170940179,-4.604700854700857,1.1517094017094016,-698.37,-97.0,7.0
Utah,Georgetown,2015,1,5.5,-1.92121212121212,-3.6424242424242372,1.4519480519480519,-1.6632034632034634,1.032034632034632,0.2727272727272716,-1.0,36.0,1.0
UAB,UCLA,2015,0,-10.13,-0.1666666666666643,-0.41666666666666785,-0.5833333333333339,-0.02777777777777768,0.5,1.2499999999999996,62.0,-526.48,3.0
Gonzaga,Iowa,2015,1,5.290000000000001,-2.122291021671826,0.9984520123839005,1.3003095975232197,-0.4643962848297214,2.139318885448917,-1.3312693498452015,-53.0,79.0,-5.0
Oregon,Wisconsin,2015,0,-13.18,-9564.666666666666,-12506.805555555555,0.10555555555555518,1.4000000000000004,1.511111111111111,-3170.6388888888887,-762.24,-28.0,7.0
North Carolina,Arkansas,2015,1,6.559999999999999,0.7865497076023402,0.4210526315789487,-1.769005847953216,-1.0891812865497075,1.3114035087719316,-0.4561403508771935,-23.0,9.0,-1.0
Georgia State,Xavier,2015,0,-9.95,-0.6378378378378411,0.4779922779922785,-1.3528957528957521,3.1444015444015436,-2.4223938223938255,1.2208494208494205,724.27,562.43,8.0
Arizona,Ohio State,2015,1,4.649999999999999,-0.24135338345864454,1.8353383458646633,-1.6639097744360907,-0.363157894736843,-1.3624060150375943,-1.638345864661654,718.32,8.0,-8.0
NC State,Louisville,2015,0,-4.010000000000002,-0.5277777777777768,0.38888888888888573,1.0555555555555554,-4.027777777777777,-0.11111111111110894,-0.22222222222222232,18.0,14.0,4.0
Michigan State,Oklahoma,2015,1,-1.1899999999999977,0.06520146520146675,2.6373626373626387,0.7956043956043954,-1.566300366300366,4.278388278388279,-0.45860805860805964,-109.0,-531.45,4.0
West Virginia,Kentucky,2015,0,-13.6,3.8388278388278376,6.405860805860804,1.2805860805860805,4.255677655677655,-0.06520146520146675,-4.1289377289377285,-64.0,-59.0,4.0
Notre Dame,Wichita State,2015,1,3.67,-3.6203007518797,-2.560902255639098,1.1187969924812036,-0.4060150375939857,1.5578947368421048,-0.19699248120300794,41.0,71.0,-4.0
Utah,Duke,2015,0,-3.9899999999999984,-2.2102564102564113,1.0358974358974375,0.2864468864468863,-1.1853479853479856,-1.1054945054945051,1.1794871794871793,4.0,-5.0,4.0
Gonzaga,UCLA,2015,1,9.05,-1.932748538011694,-1.1535087719298254,0.7529239766081872,-0.6637426900584789,2.482456140350875,-0.5453216374269005,15.0,79.0,-9.0
North Carolina,Wisconsin,2015,0,-3.9800000000000004,-9561.157894736842,-12505.578947368422,-2.3578947368421055,2.2552631578947375,4.794736842105264,-3170.7894736842104,-62.0,-37.0,3.0
Arizona,Xavier,2015,1,8.909999999999998,0.9779516358463702,0.05618776671408554,-1.2453769559032724,1.2098150782361294,-2.213371266002845,0.5825035561877665,718.27,574.43,-4.0
Louisville,Michigan State,2015,0,0.6600000000000001,1.43162393162393,-1.6175213675213662,-2.0384615384615383,2.6559829059829054,-4.925213675213676,0.8205128205128203,36.0,511.45,-3.0
Kentucky,Notre Dame,2015,1,9.489999999999998,4.352901484480432,2.8407557354925768,-2.7422402159244266,-0.2496626180836703,-0.9784075573549238,3.2402159244264506,-16.0,-54.0,-2.0
Gonzaga,Duke,2015,0,-3.849999999999998,-1.120782726045885,1.1990553306342786,-0.30904183535762453,-1.1808367071524968,1.2388663967611322,-0.5047233468286101,-8.0,13.0,1.0
Wisconsin,Arizona,2015,1,0.28000000000000114,9564.184210526315,12507.078947368422,2.121052631578948,-2.886842105263157,-1.294736842105264,3171.5526315789475,44.0,10.0,-1.0
Michigan State,Duke,2015,0,-7.509999999999998,-0.23076923076922995,3.3589743589743595,0.28205128205128194,-1.9230769230769234,1.487179487179489,0.6923076923076921,-67.0,-592.45,6.0
Wisconsin,Kentucky,2015,1,-4.109999999999999,9562.410256410256,12507.948717948719,1.994871794871795,-2.1371794871794876,-1.579487179487181,3168.128205128205,37.0,27.0,0.0
Wisconsin,Duke,2015,0,-0.35999999999999943,9563.589743589744,12509.435897435897,-0.05641025641025621,-2.778205128205129,-2.476923076923077,3171.1794871794873,64.0,-8.0,0.0
Florida Gulf Coast,Fairleigh Dickinson,2016,1,10.11,1.3688311688311732,-2.5610389610389603,-1.8978354978354979,-1.004329004329005,-0.5030303030303038,1.3922077922077927,-53.0,0.0,0.0
Tulsa,Michigan,2016,0,-3.960000000000001,2.0381944444444446,2.09375,-2.65625,1.1111111111111107,-1.322916666666666,0.5,-61.0,-37.0,0.0
Wichita State,Vanderbilt,2016,1,0.19000000000000128,2.172294372294372,0.9913419913419901,-1.1298701298701301,3.0735930735930737,-0.7861471861471863,-1.9437229437229435,22.0,-30.0,0.0
Southern,Holy Cross,2016,0,3.5199999999999996,2.4571428571428573,2.7142857142857117,-1.1428571428571432,1.1142857142857139,-2.8285714285714274,1.057142857142857,-686.33,12.0,0.0
North Carolina,Florida Gulf Coast,2016,1,24.23,2.285714285714283,-1.307142857142857,0.2857142857142856,6718.428571428572,3.8999999999999986,4420.971428571429,103.0,15.0,-15.0
Southern California,Providence,2016,0,1.58,0.3084033613445385,0.46722689075630086,0.7092436974789917,-0.21932773109243708,-0.8907563025210052,1.8092436974789914,-49.0,26.0,-1.0
Indiana,Chattanooga,2016,1,16.35,0.9428571428571431,1.4571428571428555,2.371428571428572,-0.9428571428571431,1.5999999999999996,-0.8000000000000003,-2.0,47.0,-7.0
Stony Brook,Kentucky,2016,0,-16.48,0.07575757575757436,-4.56818181818182,-0.11111111111111072,0.45959595959595934,2.171717171717175,-1.2045454545454541,672.31,-16.0,9.0
Notre Dame,Michigan,2016,1,0.34999999999999964,2.5277777777777786,-0.3888888888888893,-2.2222222222222223,-0.16666666666666696,-1.5833333333333321,1.7222222222222223,4.0,0.0,-5.0
West Virginia,Stephen F. Austin,2016,0,12.379999999999999,4.031092436974793,2.81176470588235,-1.9403361344537808,0.6823529411764735,-4.105042016806722,-0.9310924369747902,-62.0,-41.0,-11.0
Wisconsin,Pittsburgh,2016,1,-2.0700000000000003,-1.2649350649350648,-0.8060606060606048,0.36103896103896105,0.9480519480519476,-5.1471861471861455,-0.4095238095238094,-49.0,-27.0,-3.0
Weber State,Xavier,2016,0,-18.4,-4.252100840336137,-2.4840336134453835,0.814285714285715,-2.235294117647059,-2.489075630252101,0.42941176470588216,675.27,29.0,13.0
Virginia,Hampton,2016,1,30.78,-5.23902027027027,-4.173141891891891,-0.3834459459459456,0.09712837837837807,2.985641891891891,-0.4400337837837842,93.0,-501.42,-15.0
Texas Tech,Butler,2016,0,-4.050000000000001,-0.9034090909090917,-1.1695075757575708,-1.3702651515151514,-0.9412878787878789,-1.1193181818181817,0.9450757575757578,11.0,-17.0,-1.0
Little Rock,Purdue,2016,1,-13.05,-2.37142857142857,0.9428571428571431,-0.05714285714285783,2.371428571428571,-4.685714285714287,-1.685714285714286,-15.0,-18.0,7.0
Iona,Utah,2016,0,-11.91,0.9065656565656539,4.204545454545453,2.3257575757575752,1.987373737373738,1.2247474747474758,-0.047979797979798455,-10.0,-22.0,10.0
