School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Bradley,32,12,20,0.375,-2.72,-0.31,7,11,11,6,1,11,2036,2113,1279,704,1614,0.436,206,631,0.326,499,700,0.713,319,1066,399,187,107,413,575,63.9,103.4,0.434,0.391,0.543,50.0,56.7,9.2,8.6,0.5,17.5,31.1,0.309,NA,NA,NA
Brigham Young,35,23,12,0.657,11.63,5.72,13,5,14,1,5,7,2931,2706,1425,935,2175,0.43,259,764,0.339,577,810,0.712,382,1253,515,213,147,441,800,73.5,103.3,0.372,0.351,0.529,46.7,55.1,8.1,8.7,0.489,14.7,28.3,0.265,10.0,R64,WEST
Bucknell,30,16,14,0.533,-1.3,-3.14,11,7,8,6,8,8,1977,1922,1200,697,1644,0.424,182,537,0.339,346,522,0.663,252,953,342,167,143,274,469,63.7,100.6,0.318,0.327,0.508,47.2,49.1,8.7,12.7,0.479,12.7,24.4,0.21,NA,NA,NA
Buffalo,29,19,10,0.655,3.58,-2.13,13,5,13,1,6,6,2132,1952,1165,693,1640,0.423,163,526,0.31,403,591,0.682,329,986,354,198,79,385,582,67.7,99.0,0.36,0.321,0.508,47.9,51.1,10.0,7.4,0.472,16.7,31.4,0.246,NA,NA,NA
Butler,31,14,17,0.452,7.04,6.98,4,14,8,7,4,7,2125,2064,1275,767,1714,0.447,163,529,0.308,367,531,0.691,290,1058,380,169,111,365,580,64.0,101.2,0.31,0.309,0.525,49.7,49.5,8.3,9.3,0.495,15.7,28.4,0.214,NA,NA,NA
Cal Poly,34,14,20,0.412,-1.34,1.69,6,10,6,6,3,12,2141,2163,1360,739,1703,0.434,183,541,0.338,502,694,0.723,341,1150,418,153,120,383,539,60.8,104.5,0.408,0.318,0.532,51.2,56.6,7.4,10.0,0.488,15.9,32.2,0.295,16.0,R64,MIDWEST
Cal State Bakersfield,32,13,19,0.406,-4.86,-4.31,5,11,6,7,5,10,2215,2189,1290,710,1642,0.432,180,576,0.313,589,847,0.695,326,1046,382,214,113,406,621,66.0,102.8,0.516,0.351,0.535,48.4,53.8,10.1,9.5,0.487,16.6,30.7,0.359,NA,NA,NA
Cal State Fullerton,31,11,20,0.355,-5.08,-1.12,6,10,8,5,3,12,2092,2215,1245,758,1656,0.458,163,480,0.34,536,760,0.705,296,1086,402,152,111,353,584,66.8,106.5,0.459,0.29,0.549,50.9,53.0,7.3,9.7,0.507,14.9,29.1,0.324,NA,NA,NA
UC Davis,31,9,22,0.29,-11.55,-1.76,4,12,6,9,1,13,2174,2408,1270,851,1754,0.485,214,558,0.384,492,659,0.747,340,1132,490,182,107,386,576,66.6,113.8,0.376,0.318,0.582,56.1,57.6,8.6,10.6,0.546,15.7,35.0,0.281,NA,NA,NA
UC Irvine,35,23,12,0.657,4.35,-0.65,13,3,12,4,10,7,2468,2231,1415,746,1997,0.374,196,593,0.331,543,762,0.713,406,1207,385,200,87,358,640,65.6,96.1,0.382,0.297,0.473,47.2,51.6,8.6,6.3,0.423,13.2,29.5,0.272,NA,NA,NA
UC Santa Barbara,30,21,9,0.7,4.23,-0.13,12,4,10,3,9,5,2137,1960,1215,658,1645,0.4,215,612,0.351,429,644,0.666,349,991,399,144,67,316,559,63.1,102.3,0.391,0.372,0.502,48.3,60.6,7.5,6.5,0.465,13.9,31.7,0.261,NA,NA,NA
California,35,21,14,0.6,10.7,7.44,10,8,15,4,5,7,2533,2419,1416,850,2044,0.416,216,612,0.353,503,688,0.731,380,1220,431,158,115,354,623,66.4,102.9,0.337,0.299,0.51,49.5,50.7,6.7,8.0,0.469,13.0,29.8,0.246,NA,NA,NA
Central Florida,31,13,18,0.419,2.35,5.14,4,14,10,7,2,10,2253,2281,1260,835,1818,0.459,191,548,0.349,420,644,0.652,358,1085,455,236,150,369,606,68.0,106.5,0.354,0.301,0.537,47.8,54.5,11.0,12.6,0.512,14.8,32.5,0.231,NA,NA,NA
Chattanooga,33,18,15,0.545,-10.83,-7.9,12,4,11,2,5,11,2489,2439,1330,891,1928,0.462,173,507,0.341,484,714,0.678,374,1174,422,203,131,456,672,70.4,104.1,0.37,0.263,0.538,48.7,47.4,8.7,10.3,0.507,16.7,32.0,0.251,NA,NA,NA
Cincinnati,34,27,7,0.794,15.26,5.28,15,3,18,1,7,3,2325,1986,1360,690,1745,0.395,182,568,0.32,424,628,0.675,366,1078,374,177,120,485,634,63.6,91.9,0.36,0.326,0.486,46.8,54.2,8.2,9.2,0.448,19.2,32.3,0.243,5.0,R64,EAST
Clemson,36,23,13,0.639,11.08,5.97,10,8,16,3,4,7,2287,2103,1471,778,1970,0.395,172,603,0.285,375,564,0.665,418,1199,373,195,104,380,594,59.9,95.5,0.286,0.306,0.47,48.6,47.9,8.9,8.2,0.439,14.5,32.5,0.19,NA,NA,NA
Cleveland State,33,21,12,0.636,4.38,-0.52,12,4,12,3,9,8,2410,2186,1340,730,1745,0.418,201,612,0.328,525,738,0.711,358,1055,438,178,123,424,568,64.6,101.0,0.423,0.351,0.522,48.6,60.0,8.2,10.3,0.476,16.8,31.7,0.301,NA,NA,NA
Coastal Carolina,34,21,13,0.618,-5.21,-6.31,11,5,14,5,6,7,2458,2326,1375,778,1934,0.402,264,822,0.321,506,730,0.693,372,1175,397,240,136,440,649,68.6,98.6,0.377,0.425,0.51,46.8,51.0,10.2,10.1,0.471,16.2,29.2,0.262,16.0,R64,EAST
Colgate,31,13,18,0.419,-2.51,-4.08,6,12,7,8,6,10,2158,2083,1260,747,1673,0.447,190,567,0.335,399,580,0.688,288,989,358,176,68,323,470,62.8,105.3,0.347,0.339,0.535,50.9,47.9,8.9,7.0,0.503,14.2,28.2,0.238,NA,NA,NA
College of Charleston,32,14,18,0.438,-2.02,-1.89,6,10,9,7,4,8,2016,2006,1300,689,1685,0.409,158,462,0.342,470,721,0.652,313,1038,272,184,120,308,533,62.1,99.3,0.428,0.274,0.495,46.1,39.5,9.1,10.8,0.456,13.2,27.6,0.279,NA,NA,NA
Colorado,35,23,12,0.657,10.8,8.8,10,8,16,2,5,6,2457,2387,1415,856,1986,0.431,251,706,0.356,424,603,0.703,319,1098,465,230,118,422,711,67.0,100.7,0.304,0.355,0.525,45.7,54.3,9.7,9.1,0.494,15.7,26.1,0.213,8.0,R64,SOUTH
Connecticut,40,32,8,0.8,17.23,8.63,12,6,14,3,6,4,2873,2529,1610,878,2241,0.392,241,731,0.33,532,801,0.664,492,1378,454,228,127,518,731,65.5,95.9,0.357,0.326,0.482,49.8,51.7,8.6,8.9,0.446,16.5,32.9,0.237,7.0,Champions,EAST
Creighton,35,27,8,0.771,18.03,7.17,14,4,16,0,7,4,2756,2376,1400,844,1983,0.426,234,685,0.342,454,654,0.694,347,1112,428,169,98,338,647,65.3,103.9,0.33,0.345,0.518,48.3,50.7,7.4,9.2,0.485,12.8,27.8,0.229,3.0,R32,WEST
Davidson,33,20,13,0.606,0.81,-3.73,15,1,8,4,10,4,2591,2404,1340,835,1783,0.468,167,473,0.353,567,804,0.705,302,1085,355,188,110,412,678,68.0,105.5,0.451,0.265,0.555,50.0,42.5,8.3,9.6,0.515,16.0,28.4,0.318,NA,NA,NA
Dayton,37,26,11,0.703,10.55,5.34,10,6,13,4,7,4,2671,2478,1490,843,1936,0.435,203,612,0.332,589,832,0.708,353,1158,431,183,166,459,704,65.4,101.7,0.43,0.316,0.531,47.3,51.1,7.5,12.1,0.488,16.5,28.7,0.304,11.0,E8,SOUTH
Delaware,35,25,10,0.714,2.73,-1.1,14,2,10,2,11,7,2782,2648,1405,936,2115,0.443,219,670,0.327,557,803,0.694,429,1365,414,171,132,418,736,70.9,106.3,0.38,0.317,0.53,51.9,44.2,6.9,9.6,0.494,14.3,32.8,0.263,13.0,R64,EAST
Drake,31,15,16,0.484,-0.77,1.03,6,12,9,5,4,9,2116,2115,1245,734,1647,0.446,206,599,0.344,441,634,0.696,272,977,356,201,118,344,586,64.4,105.5,0.385,0.364,0.543,49.2,48.5,10.0,11.9,0.508,15.0,26.7,0.268,NA,NA,NA
Drexel,30,16,14,0.533,1.23,-0.24,8,8,8,4,6,8,2064,2020,1245,682,1606,0.425,151,490,0.308,505,749,0.674,319,1093,313,118,104,338,586,63.4,102.4,0.466,0.305,0.515,50.5,45.9,6.0,8.6,0.472,14.7,29.7,0.314,NA,NA,NA
Duke,35,26,9,0.743,19.51,8.48,13,5,17,0,4,5,2745,2359,1405,848,1860,0.456,138,449,0.307,525,758,0.693,357,1137,380,174,117,425,655,65.5,102.6,0.408,0.241,0.531,48.5,44.8,7.6,9.6,0.493,16.1,30.9,0.282,3.0,R64,MIDWEST
East Tennessee State,35,19,16,0.543,-5.93,-6.08,10,8,14,6,5,10,2689,2663,1410,903,2044,0.442,269,811,0.332,588,853,0.689,422,1339,507,196,138,491,721,71.2,106.1,0.417,0.397,0.544,52.2,56.1,7.8,10.7,0.508,16.7,32.9,0.288,NA,NA,NA
Eastern Kentucky,34,24,10,0.706,0.6,-4.34,11,5,12,2,8,6,2677,2411,1365,793,1631,0.486,204,577,0.354,621,880,0.706,325,1110,454,185,113,574,671,67.5,104.7,0.54,0.354,0.588,55.7,57.3,8.0,11.3,0.549,21.9,33.6,0.381,15.0,R64,SOUTH
Eastern Washington,31,15,16,0.484,-5.32,-4.15,10,10,10,4,3,11,2362,2329,1245,809,1815,0.446,200,580,0.345,511,726,0.704,329,1088,435,208,129,331,598,69.5,107.6,0.4,0.32,0.539,49.0,53.8,9.6,11.6,0.501,13.3,29.0,0.282,NA,NA,NA
Fairleigh Dickinson,31,10,21,0.323,-11.24,-4.07,6,10,6,6,4,14,2157,2358,1250,769,1714,0.449,216,583,0.37,604,826,0.731,410,1177,416,180,127,395,547,67.0,112.6,0.482,0.34,0.56,54.6,54.1,8.6,11.2,0.512,15.8,38.6,0.352,NA,NA,NA
Florida Gulf Coast,35,22,13,0.629,-1.97,-5.76,14,4,16,2,6,10,2504,2339,1409,821,1989,0.413,239,691,0.346,458,701,0.653,367,1184,378,224,87,444,632,68.2,97.4,0.352,0.347,0.504,48.0,46.0,9.3,6.4,0.473,16.1,28.2,0.23,NA,NA,NA
Florida State,36,22,14,0.611,12.63,8.13,9,9,12,5,6,6,2554,2392,1450,824,2065,0.399,228,694,0.329,516,747,0.691,482,1216,402,239,129,453,746,66.1,99.9,0.362,0.336,0.494,49.2,48.8,10.0,9.4,0.454,15.8,35.8,0.25,NA,NA,NA
Florida,39,36,3,0.923,20.69,8.54,18,0,17,0,10,2,2727,2253,1560,806,2004,0.402,207,628,0.33,434,626,0.693,370,1191,386,219,120,526,739,62.9,91.8,0.312,0.313,0.489,46.2,47.9,8.9,8.9,0.454,18.6,28.1,0.217,1.0,F4,SOUTH
Fresno State,39,21,18,0.538,3.59,3.75,9,9,13,6,7,10,2837,2749,1590,950,2217,0.429,226,728,0.31,623,907,0.687,446,1435,506,185,123,444,717,66.3,104.3,0.409,0.328,0.519,52.1,53.3,7.0,9.1,0.479,14.4,31.7,0.281,NA,NA,NA
Gardner-Webb,33,18,15,0.545,-7.33,-6.9,10,6,8,5,7,9,2425,2309,1360,832,1846,0.451,170,525,0.324,475,681,0.698,341,1131,391,195,142,465,651,67.3,100.9,0.369,0.284,0.532,48.9,47.0,8.5,10.3,0.497,17.7,30.4,0.257,NA,NA,NA
George Washington,33,24,9,0.727,10.6,4.42,11,5,14,1,6,5,2415,2211,1324,788,1895,0.416,214,685,0.312,421,632,0.666,383,1113,412,224,117,442,717,68.0,98.2,0.334,0.361,0.504,47.5,52.3,10.0,9.0,0.472,16.8,31.4,0.222,11.0,R64,EAST
Georgetown,33,18,15,0.545,10.96,8.27,8,10,13,3,2,9,2344,2255,1330,715,1703,0.42,203,610,0.333,622,893,0.697,361,1079,394,189,90,395,696,65.0,104.3,0.524,0.358,0.53,49.5,55.1,8.7,7.5,0.479,15.7,32.1,0.365,NA,NA,NA
Georgia State,34,25,9,0.735,6.04,-2.56,17,1,13,0,10,7,2641,2330,1380,804,1909,0.421,267,784,0.341,455,670,0.679,413,1233,422,144,91,451,640,65.8,102.6,0.351,0.411,0.523,53.4,52.5,6.3,7.3,0.491,16.8,34.1,0.238,NA,NA,NA
Georgia Tech,33,16,17,0.485,5.12,5.24,6,12,10,7,5,7,2200,2204,1335,761,1815,0.419,197,594,0.332,485,688,0.705,328,1097,399,205,121,334,576,64.8,102.0,0.379,0.327,0.515,48.0,52.4,9.5,9.3,0.474,13.5,28.7,0.267,NA,NA,NA
Georgia,34,20,14,0.588,7.9,5.78,12,6,15,3,4,7,2343,2271,1369,748,1855,0.403,207,648,0.319,568,805,0.706,365,1101,329,235,142,357,730,65.2,101.8,0.434,0.349,0.508,46.7,44.0,10.5,11.3,0.459,13.8,29.8,0.306,NA,NA,NA
Gonzaga,36,29,7,0.806,15.56,5.36,15,3,15,0,8,4,2761,2372,1421,806,2027,0.398,203,639,0.318,557,784,0.71,399,1178,380,210,112,422,716,68.1,98.1,0.387,0.315,0.494,47.7,47.1,8.7,8.5,0.448,15.0,29.6,0.275,8.0,R32,WEST
Grand Canyon,30,15,15,0.5,-6.4,-3.51,10,6,8,4,5,9,2163,2152,1205,749,1724,0.434,178,510,0.349,476,687,0.693,311,1026,355,196,98,303,661,67.8,105.4,0.398,0.296,0.525,49.3,47.4,9.6,10.2,0.486,12.9,28.7,0.276,NA,NA,NA
Green Bay,31,24,7,0.774,7.18,0.11,14,2,13,4,9,2,2304,1999,1250,701,1780,0.394,188,590,0.319,409,575,0.711,366,1041,353,194,100,428,606,67.7,94.4,0.323,0.331,0.487,47.8,50.4,9.2,7.7,0.447,17.3,31.6,0.23,NA,NA,NA
Hampton,31,18,13,0.581,-5.17,-7.91,13,4,9,3,8,7,2262,2177,1275,687,1728,0.398,188,534,0.352,615,929,0.662,411,1206,310,187,116,498,703,71.1,96.1,0.538,0.309,0.502,50.7,45.1,8.3,9.3,0.452,18.7,34.5,0.356,NA,NA,NA
Hartford,33,17,16,0.515,-6.63,-6.18,10,6,9,3,7,9,2162,2177,1325,763,1665,0.458,182,530,0.343,469,687,0.683,319,1048,357,214,79,430,636,63.7,103.2,0.413,0.318,0.547,53.6,46.8,10.1,8.9,0.513,17.8,32.0,0.282,NA,NA,NA
Harvard,32,27,5,0.844,10.79,-0.47,13,1,11,1,11,3,2343,1952,1300,680,1664,0.409,164,509,0.322,428,603,0.71,318,1004,342,185,114,459,666,64.6,93.0,0.362,0.306,0.5,47.9,50.3,8.8,9.4,0.458,19.1,29.6,0.257,12.0,R32,EAST
Hawaii,31,20,11,0.645,3.43,-1.68,9,7,14,5,6,4,2479,2270,1255,783,1752,0.447,197,586,0.336,507,697,0.727,322,978,371,172,114,412,632,69.3,104.4,0.398,0.334,0.545,46.7,47.4,7.9,8.8,0.503,16.5,30.9,0.289,NA,NA,NA
Holy Cross,34,20,14,0.588,-1.58,-3.28,12,6,8,5,10,7,2277,2219,1371,800,1817,0.44,213,569,0.374,404,549,0.736,304,1075,431,182,113,411,637,63.9,101.4,0.302,0.313,0.534,49.0,53.9,8.3,9.6,0.499,16.5,28.0,0.222,NA,NA,NA
Houston,33,17,16,0.515,2.68,4.62,8,10,12,4,3,9,2345,2409,1325,866,1939,0.447,209,599,0.349,468,670,0.699,403,1180,456,218,123,365,599,67.1,108.4,0.346,0.309,0.534,50.8,52.7,9.8,9.8,0.501,13.9,34.0,0.241,NA,NA,NA
Illinois,35,20,15,0.571,10.33,8.28,7,11,10,6,6,7,2248,2176,1405,771,1833,0.421,221,645,0.343,413,590,0.7,334,1162,390,171,124,412,575,62.8,98.7,0.322,0.352,0.515,49.6,50.6,7.8,9.7,0.481,16.3,29.3,0.225,NA,NA,NA
Indiana,32,17,15,0.531,11.32,6.64,7,11,14,4,2,8,2312,2162,1285,757,1837,0.412,182,609,0.299,466,653,0.714,329,998,331,238,153,393,673,68.7,98.0,0.355,0.332,0.503,44.6,43.7,10.8,12.4,0.462,15.5,28.0,0.254,NA,NA,NA
Iona,33,22,11,0.667,5.96,-0.1,17,3,11,2,9,8,2760,2560,1325,959,2111,0.454,218,640,0.341,424,620,0.684,446,1261,480,158,117,392,587,71.0,108.8,0.294,0.303,0.532,53.5,50.1,6.7,10.7,0.506,14.0,35.6,0.201,NA,NA,NA
Iowa State,36,28,8,0.778,18.52,9.88,11,7,15,1,4,6,2989,2678,1465,954,2272,0.42,259,760,0.341,511,698,0.732,403,1329,476,197,124,418,698,71.7,102.0,0.307,0.335,0.514,48.9,49.9,7.5,8.9,0.477,13.8,28.5,0.225,3.0,S16,EAST
Iowa,33,20,13,0.606,18.58,7.43,9,9,13,4,4,6,2689,2321,1339,804,1938,0.415,229,722,0.317,484,686,0.706,361,1101,423,209,112,439,717,69.9,99.3,0.354,0.373,0.513,45.3,52.6,8.9,7.8,0.474,16.2,29.0,0.25,11.0,R68,MIDWEST
Jacksonville State,31,10,21,0.323,-11.97,-5.14,4,12,7,6,2,14,2014,2176,1240,746,1559,0.479,164,432,0.38,520,729,0.713,309,1046,387,179,108,376,606,63.7,110.2,0.468,0.277,0.571,52.4,51.9,9.1,9.9,0.531,16.5,33.5,0.334,NA,NA,NA
Kansas State,33,20,13,0.606,12.14,8.47,10,8,15,2,2,7,2280,2159,1335,723,1774,0.408,162,553,0.293,551,805,0.684,385,1149,380,212,128,416,621,65.6,98.6,0.454,0.312,0.501,49.3,52.6,9.7,10.3,0.453,16.2,33.2,0.311,9.0,R64,MIDWEST
Kansas,35,25,10,0.714,20.25,11.4,14,4,14,1,5,6,2764,2454,1410,815,1961,0.416,219,617,0.355,605,892,0.678,373,1073,418,232,111,396,742,68.6,101.5,0.455,0.315,0.515,44.5,51.3,9.6,8.0,0.471,14.2,28.8,0.309,2.0,R32,SOUTH
Kent State,32,16,16,0.5,-1.81,-1.94,7,11,11,7,5,9,2228,2188,1290,717,1667,0.43,182,538,0.338,572,792,0.722,328,1105,388,191,109,427,571,66.5,102.0,0.475,0.323,0.535,50.7,54.1,8.9,9.8,0.485,17.3,30.9,0.343,NA,NA,NA
Kentucky,40,29,11,0.725,18.07,9.9,12,6,16,2,5,5,2992,2665,1615,933,2271,0.411,222,689,0.322,577,836,0.69,437,1231,416,232,123,428,883,65.9,100.1,0.368,0.303,0.499,43.4,44.6,8.7,7.7,0.46,13.8,29.5,0.254,8.0,2ND,MIDWEST
Lafayette,31,11,20,0.355,-7.64,-3.38,6,12,6,7,5,13,2212,2315,1250,809,1718,0.471,239,641,0.373,458,630,0.727,341,1033,421,192,93,372,554,65.6,112.9,0.367,0.373,0.574,52.7,52.0,9.4,8.6,0.54,15.6,33.6,0.267,NA,NA,NA
Liberty,32,11,21,0.344,-10.26,-7.47,5,11,7,8,2,12,2250,2234,1280,767,1772,0.433,236,684,0.345,464,644,0.72,320,980,388,207,124,333,560,65.4,106.7,0.363,0.386,0.538,45.2,50.6,9.9,9.7,0.499,13.8,29.0,0.262,NA,NA,NA
Lipscomb,30,15,15,0.5,-8.2,-5.13,10,8,7,5,8,10,2276,2355,1210,782,1662,0.471,235,665,0.353,556,795,0.699,318,1124,413,186,98,428,644,71.0,109.6,0.478,0.4,0.577,53.1,52.8,8.7,10.8,0.541,17.3,31.3,0.335,NA,NA,NA
Long Island University,29,9,20,0.31,-13.66,-5.55,4,12,5,6,4,11,2080,2315,1165,844,1771,0.477,247,633,0.39,380,547,0.695,346,1068,493,198,110,312,535,68.5,116.0,0.309,0.357,0.57,51.6,58.4,9.9,10.8,0.546,13.3,33.9,0.215,NA,NA,NA
Louisiana,35,23,12,0.657,2.91,-0.28,11,7,13,2,6,9,2835,2633,1430,907,2032,0.446,205,614,0.334,614,885,0.694,400,1214,412,212,184,483,744,71.2,103.4,0.436,0.302,0.537,47.7,45.4,8.3,12.6,0.497,16.5,31.6,0.302,14.0,R64,WEST
Louisiana State,34,20,14,0.588,10.05,6.61,9,9,13,3,4,9,2540,2423,1375,833,2010,0.414,212,593,0.358,545,778,0.701,412,1240,389,235,126,433,607,70.1,100.5,0.387,0.295,0.509,48.2,46.7,9.7,9.1,0.467,15.4,31.6,0.271,NA,NA,NA
Louisville,37,31,6,0.838,24.69,4.8,15,3,16,2,9,2,2998,2262,1480,786,1983,0.396,170,594,0.286,518,761,0.681,434,1285,387,169,103,638,755,69.0,88.6,0.384,0.3,0.482,47.9,49.2,6.6,7.1,0.439,21.4,32.7,0.261,4.0,S16,MIDWEST
Loyola (IL),32,10,22,0.313,-4.75,-1.14,4,14,8,6,0,14,2105,2199,1300,760,1670,0.455,194,551,0.352,485,688,0.705,317,1027,395,214,97,372,590,63.2,107.0,0.412,0.33,0.551,51.4,52.0,10.4,9.1,0.513,15.7,31.0,0.29,NA,NA,NA
Manhattan,33,25,8,0.758,6.04,-0.9,15,5,9,3,12,4,2540,2311,1350,739,1809,0.409,164,502,0.327,669,956,0.7,409,1199,390,207,157,515,772,70.3,97.4,0.528,0.278,0.511,49.3,52.8,8.7,12.3,0.454,18.5,33.3,0.37,13.0,R64,MIDWEST
Marquette,32,17,15,0.531,10.08,6.61,9,9,12,4,4,8,2310,2199,1320,749,1772,0.423,241,660,0.365,460,686,0.671,332,1064,453,175,125,422,678,66.3,100.5,0.387,0.372,0.524,47.7,60.5,8.0,9.5,0.491,16.7,29.6,0.26,NA,NA,NA
Marshall,33,11,22,0.333,-4.42,-1.32,4,12,8,8,2,12,2385,2375,1330,835,1889,0.442,197,624,0.316,508,793,0.641,411,1268,442,208,113,446,671,69.6,102.6,0.42,0.33,0.524,50.9,52.9,9.0,8.8,0.494,16.4,34.0,0.269,NA,NA,NA
Maryland-Baltimore County,30,9,21,0.3,-14.21,-6.55,5,11,8,5,1,16,1968,2185,1230,683,1528,0.447,200,546,0.366,619,879,0.704,310,1103,392,225,101,462,605,68.3,103.9,0.575,0.357,0.562,52.0,57.4,10.7,9.2,0.512,19.2,31.5,0.405,NA,NA,NA
Maryland,32,17,15,0.531,11.33,8.08,9,9,12,4,2,8,2270,2166,1295,735,1761,0.417,194,569,0.341,502,742,0.677,331,1094,366,200,123,410,595,67.7,98.9,0.421,0.323,0.512,47.7,49.8,9.1,10.4,0.472,16.2,28.9,0.285,NA,NA,NA
Massachusetts,33,24,9,0.727,10.61,6.0,10,6,11,2,7,4,2502,2350,1325,843,1986,0.424,165,535,0.308,499,739,0.675,400,1172,466,204,182,445,643,71.7,98.9,0.372,0.269,0.503,48.1,55.3,8.6,12.6,0.466,16.0,31.7,0.251,6.0,R64,MIDWEST
