School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Auburn,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,1360,838,1961,0.427,273,777,0.351,539,747,0.722,341,1207,439,207,111,516,700,73.4,99.6,0.381,0.396,0.537,48.3,52.4,8.3,9.3,0.497,18.2,27.9,0.275,4.0,R32
Austin Peay,34,19,15,0.559,-3.28,-2.5,12,6,13,5,5,9,2512,2446,1370,845,1821,0.464,240,661,0.363,516,721,0.716,309,1107,408,200,130,549,720,70.1,101.9,0.396,0.363,0.565,47.8,48.3,8.3,9.2,0.53,20.2,28.8,0.283,NA,NA
Baylor,34,19,15,0.559,14.6,9.17,8,10,15,5,2,9,2571,2369,1375,836,2016,0.415,261,774,0.337,436,609,0.716,367,1091,499,197,142,400,613,68.5,100.6,0.302,0.384,0.514,45.8,59.7,8.4,10.2,0.479,14.8,29.2,0.216,NA,NA
Belmont,33,24,9,0.727,5.54,-2.88,15,3,14,2,9,6,2562,2284,1320,836,1943,0.43,228,680,0.335,384,521,0.737,302,1068,380,202,90,382,572,68.5,101.0,0.268,0.35,0.521,48.5,45.5,8.9,10.6,0.489,14.8,25.7,0.198,NA,NA
Boise State,32,23,9,0.719,11.21,3.05,13,5,15,1,6,6,2502,2210,1300,794,1859,0.427,223,681,0.327,399,551,0.724,203,972,407,194,98,380,568,70.7,96.2,0.296,0.366,0.521,44.1,51.3,8.4,9.0,0.487,15.2,18.2,0.215,NA,NA
Bradley,33,20,13,0.606,2.07,0.35,9,9,13,2,4,9,2223,2136,1320,716,1768,0.405,243,737,0.33,461,627,0.735,326,1094,430,209,87,447,627,66.3,97.7,0.355,0.417,0.517,48.2,60.1,9.6,7.4,0.474,17.8,28.5,0.261,NA,NA
Brigham Young,35,24,11,0.686,8.05,1.53,11,7,13,3,7,6,2600,2372,1415,878,1955,0.449,251,746,0.336,365,556,0.656,263,1100,454,212,101,444,639,67.9,98.7,0.284,0.382,0.534,49.0,51.7,8.8,8.0,0.513,16.7,22.5,0.187,NA,NA
Bucknell,35,25,10,0.714,4.49,-3.46,16,2,15,1,10,8,2837,2559,1420,911,2138,0.426,224,677,0.331,513,738,0.695,360,1240,448,231,116,438,742,72.4,99.5,0.345,0.317,0.514,49.2,49.2,9.0,9.3,0.478,15.0,27.4,0.24,14.0,R64
Buffalo,36,27,9,0.75,7.99,0.25,15,3,14,1,8,5,3047,2742,1455,936,2179,0.43,239,728,0.328,631,860,0.734,389,1313,415,207,135,496,657,73.9,102.0,0.395,0.334,0.53,48.6,44.3,7.7,9.7,0.484,16.1,28.9,0.29,13.0,R32
Butler,35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,1430,877,1954,0.449,274,735,0.373,512,689,0.743,278,1137,440,179,120,484,586,69.6,102.1,0.353,0.376,0.557,48.7,50.2,7.2,8.9,0.519,17.5,24.1,0.262,10.0,R32
Cal Poly,31,9,22,0.29,-11.56,-1.83,4,12,7,6,1,13,2082,2302,1270,816,1790,0.456,228,594,0.384,442,593,0.745,307,1143,448,182,111,347,491,66.6,108.8,0.331,0.332,0.556,52.5,54.9,8.6,10.4,0.52,14.3,29.2,0.247,NA,NA
Cal State Bakersfield,30,12,18,0.4,-6.58,-0.73,5,9,8,4,3,12,1981,2068,1200,679,1597,0.425,244,693,0.352,466,664,0.702,291,1009,392,180,82,407,576,67.4,102.2,0.416,0.434,0.541,48.6,57.7,8.9,7.8,0.502,17.5,28.6,0.292,NA,NA
Cal State Fullerton,32,20,12,0.625,-0.93,-1.03,10,6,9,4,7,7,2318,2245,1290,768,1861,0.413,220,635,0.346,489,647,0.756,320,1074,396,180,114,413,627,69.9,99.5,0.348,0.341,0.518,48.9,51.6,8.0,9.3,0.472,16.0,27.5,0.263,15.0,R64
UC Davis,33,22,11,0.667,0.87,-1.84,12,4,10,2,9,7,2388,2241,1360,768,1806,0.425,221,683,0.324,484,658,0.736,330,1134,419,207,113,506,664,67.3,97.9,0.364,0.378,0.529,51.6,54.6,9.0,9.3,0.486,19.3,29.3,0.268,NA,NA
UC Irvine,35,18,17,0.514,-0.22,-0.34,11,5,7,5,7,10,2440,2350,1410,781,2006,0.389,229,699,0.328,559,803,0.696,332,1180,398,190,96,367,605,68.5,97.3,0.4,0.348,0.492,45.0,51.0,7.9,6.8,0.446,13.3,24.5,0.279,NA,NA
UC Santa Barbara,32,23,9,0.719,2.1,-3.37,11,5,12,2,9,6,2425,2211,1285,803,1863,0.431,228,661,0.345,377,538,0.701,296,1081,443,116,81,368,567,68.1,101.1,0.289,0.355,0.522,47.9,55.2,5.3,6.7,0.492,14.8,25.8,0.202,NA,NA
California,32,8,24,0.25,-3.4,6.05,2,16,5,12,3,8,2166,2483,1285,852,1807,0.471,282,706,0.399,497,689,0.721,316,1116,514,193,128,443,631,70.6,109.6,0.381,0.391,0.582,49.5,60.3,8.5,9.3,0.55,17.2,30.7,0.275,NA,NA
Central Florida,32,19,13,0.594,4.76,3.76,9,9,12,4,5,6,2007,1975,1285,718,1790,0.401,201,608,0.331,338,469,0.721,321,1085,401,202,122,394,624,64.9,94.7,0.262,0.34,0.491,49.5,55.8,9.7,11.2,0.457,16.4,28.6,0.189,NA,NA
Chattanooga,33,10,23,0.303,-11.09,-4.05,3,15,8,8,1,14,2289,2424,1345,902,1880,0.48,228,649,0.351,392,525,0.747,283,1105,442,236,115,430,640,67.4,107.0,0.279,0.345,0.569,50.8,49.0,10.4,11.2,0.54,16.8,27.0,0.209,NA,NA
Cincinnati,36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,1440,739,1974,0.374,231,747,0.309,362,529,0.684,361,1127,361,179,106,514,654,66.1,87.0,0.268,0.378,0.465,44.4,48.8,7.5,7.8,0.433,18.8,27.9,0.183,2.0,R32
Clemson,35,25,10,0.714,17.16,9.25,11,7,15,1,4,6,2584,2307,1410,826,2033,0.406,268,761,0.352,387,552,0.701,332,1172,401,199,126,413,617,67.5,96.9,0.272,0.374,0.503,48.3,48.5,8.4,10.6,0.472,15.2,26.0,0.19,5.0,S16
Cleveland State,35,12,23,0.343,-10.82,-3.64,6,12,7,7,2,15,2402,2613,1410,936,2052,0.456,289,813,0.355,452,633,0.714,390,1335,528,184,115,490,588,69.2,107.1,0.308,0.396,0.555,55.7,56.4,7.5,10.4,0.527,17.2,33.0,0.22,NA,NA
Coastal Carolina,32,14,18,0.438,-3.94,-2.42,8,10,7,9,5,7,2298,2241,1290,736,1819,0.405,276,809,0.341,493,680,0.725,315,1053,419,224,69,384,620,69.0,100.8,0.374,0.445,0.523,45.8,56.9,10.1,6.0,0.48,15.2,26.9,0.271,NA,NA
Colgate,33,19,14,0.576,-4.85,-5.72,12,6,13,3,6,11,2394,2315,1320,831,1836,0.453,270,735,0.367,383,520,0.737,285,1128,437,169,101,431,560,67.5,104.0,0.283,0.4,0.556,51.0,52.6,7.6,9.7,0.526,17.1,26.7,0.209,NA,NA
College of Charleston,34,26,8,0.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,1385,824,1907,0.432,239,694,0.344,444,602,0.738,321,1149,410,140,110,403,617,65.9,102.1,0.316,0.364,0.531,50.4,49.8,6.1,9.3,0.495,15.5,27.6,0.233,13.0,R64
Colorado,32,17,15,0.531,6.06,7.0,8,10,12,3,1,10,2307,2337,1295,808,1909,0.423,265,743,0.357,456,649,0.703,312,1091,370,235,128,339,594,69.5,103.9,0.34,0.389,0.527,47.6,45.8,10.4,11.0,0.493,13.3,26.3,0.239,NA,NA
Connecticut,32,14,18,0.438,1.08,6.05,7,11,11,5,2,9,2181,2340,1300,804,1856,0.433,288,791,0.364,444,629,0.706,371,1176,440,163,97,400,543,67.1,107.2,0.339,0.426,0.543,51.8,54.7,7.5,8.3,0.511,15.7,32.8,0.239,NA,NA
Creighton,33,21,12,0.636,16.35,8.1,10,8,16,2,4,7,2756,2444,1330,907,2093,0.433,261,785,0.332,369,512,0.721,303,1160,460,200,99,387,529,72.8,100.9,0.245,0.375,0.523,49.0,50.7,8.3,8.8,0.496,14.2,24.0,0.176,8.0,R64
Davidson,33,21,12,0.636,11.02,2.57,13,5,11,1,6,8,2519,2240,1335,802,1826,0.439,266,761,0.35,370,540,0.685,258,1042,417,158,83,352,525,65.3,102.8,0.296,0.417,0.538,49.2,52.0,7.3,8.6,0.512,14.5,23.3,0.203,12.0,R64
Dayton,31,14,17,0.452,1.64,2.71,8,10,12,4,1,10,2244,2277,1260,824,1755,0.47,262,684,0.383,367,513,0.715,277,980,457,186,74,388,540,67.0,108.0,0.292,0.39,0.57,50.3,55.5,8.8,7.9,0.544,16.3,27.6,0.209,NA,NA
Delaware,33,14,19,0.424,-6.93,-2.96,6,12,7,8,4,10,2338,2428,1330,869,1909,0.455,274,740,0.37,416,574,0.725,297,1139,453,176,99,338,605,67.0,109.0,0.301,0.388,0.556,49.8,52.1,7.9,7.6,0.527,13.4,26.2,0.218,NA,NA
Drake,34,17,17,0.5,-0.51,0.58,10,8,11,3,4,11,2506,2495,1390,937,2076,0.451,264,784,0.337,357,504,0.708,322,1235,509,203,122,413,590,69.3,103.6,0.243,0.378,0.539,51.6,54.3,8.4,10.4,0.515,15.1,26.8,0.172,NA,NA
Drexel,33,13,20,0.394,-7.2,-2.48,6,12,9,5,2,11,2454,2591,1340,948,2054,0.462,246,672,0.366,449,636,0.706,371,1204,472,217,108,374,605,70.1,110.3,0.31,0.327,0.55,50.1,49.8,9.2,8.3,0.521,13.7,30.9,0.219,NA,NA
Duke,37,29,8,0.784,24.43,9.7,13,5,15,1,6,5,3121,2576,1490,957,2364,0.405,279,871,0.32,383,526,0.728,432,1216,537,210,97,453,671,70.6,97.9,0.223,0.368,0.493,44.5,56.1,8.0,6.7,0.464,14.8,29.7,0.162,2.0,E8
East Tennessee State,34,25,9,0.735,3.72,-4.09,14,4,12,4,11,4,2556,2241,1360,778,1929,0.403,250,783,0.319,435,622,0.699,352,1128,375,207,108,500,599,69.7,94.6,0.322,0.406,0.504,47.1,48.2,8.7,8.7,0.468,18.4,27.8,0.226,NA,NA
Eastern Kentucky,31,11,20,0.355,-10.57,-3.68,5,13,6,7,5,12,2230,2371,1245,849,1801,0.471,256,654,0.391,417,619,0.674,327,1106,475,217,106,412,556,69.8,109.1,0.344,0.363,0.566,52.0,55.9,10.0,9.3,0.542,16.4,31.1,0.232,NA,NA
Eastern Washington,35,20,15,0.571,-0.03,-1.54,13,5,11,1,6,12,2619,2520,1410,884,1983,0.446,241,673,0.358,511,711,0.719,289,1181,464,192,77,413,594,69.2,103.3,0.359,0.339,0.543,50.4,52.5,7.9,6.5,0.507,15.1,24.2,0.258,NA,NA
Fairleigh Dickinson,31,13,18,0.419,-10.41,-5.66,9,9,8,5,5,13,2313,2350,1240,812,1851,0.439,250,705,0.355,476,639,0.745,382,1144,454,207,89,451,564,71.8,105.6,0.345,0.381,0.545,51.7,55.9,9.3,7.1,0.506,17.3,34.4,0.257,NA,NA
Florida Gulf Coast,35,23,12,0.657,1.94,-5.44,12,2,14,6,9,6,2847,2515,1400,884,2092,0.423,267,818,0.326,480,712,0.674,358,1151,452,245,96,494,620,73.3,98.0,0.34,0.391,0.517,46.2,51.1,9.5,6.8,0.486,16.9,27.0,0.229,NA,NA
Florida State,35,23,12,0.657,15.78,8.5,9,9,13,2,4,7,2806,2551,1420,887,2129,0.417,285,802,0.355,492,689,0.714,383,1228,432,204,104,494,658,72.2,99.6,0.324,0.377,0.519,48.2,48.7,8.0,7.7,0.484,16.7,29.3,0.231,9.0,E8
Florida,34,21,13,0.618,16.66,10.08,11,7,12,5,5,4,2577,2353,1375,832,1946,0.428,229,650,0.352,460,629,0.731,362,1273,394,150,105,468,607,68.4,100.0,0.323,0.334,0.524,51.5,47.4,6.4,8.5,0.486,17.3,30.3,0.236,6.0,R32
Fresno State,32,21,11,0.656,8.17,1.84,11,7,12,5,8,5,2459,2201,1295,749,1725,0.434,220,601,0.366,483,658,0.734,254,1001,378,158,96,432,646,68.5,99.2,0.381,0.348,0.54,48.1,50.5,7.1,7.6,0.498,17.5,24.4,0.28,NA,NA
Gardner-Webb,32,14,18,0.438,-9.7,-3.81,9,9,11,2,3,13,2258,2307,1300,798,1839,0.434,256,752,0.34,455,639,0.712,295,1109,465,223,108,404,486,69.1,102.8,0.347,0.409,0.538,49.3,58.3,9.9,9.2,0.504,15.9,26.0,0.247,NA,NA
George Washington,33,15,18,0.455,-0.72,2.13,7,11,13,5,1,10,2225,2319,1320,857,1891,0.453,229,642,0.357,376,532,0.707,330,1084,441,215,81,374,527,66.3,106.1,0.281,0.34,0.541,49.2,51.5,9.8,6.2,0.514,14.9,30.0,0.199,NA,NA
Georgetown,30,15,15,0.5,7.16,5.29,5,13,11,8,4,6,2350,2294,1235,821,1870,0.439,259,744,0.348,393,529,0.743,289,1009,459,213,103,377,570,71.6,103.7,0.283,0.398,0.541,46.7,55.9,9.6,9.0,0.508,15.1,26.0,0.21,NA,NA
Georgia State,35,24,11,0.686,3.22,-2.78,12,6,11,3,9,6,2614,2356,1415,771,1963,0.393,307,901,0.341,507,727,0.697,416,1296,457,174,117,501,577,67.9,98.1,0.37,0.459,0.51,52.3,59.3,7.2,9.8,0.471,17.8,32.3,0.258,15.0,R64
Georgia Tech,32,13,19,0.406,5.25,7.46,6,12,12,7,1,10,2101,2172,1285,768,1791,0.429,227,599,0.379,407,569,0.715,331,1082,457,203,104,403,543,66.5,101.7,0.318,0.334,0.527,50.0,59.5,9.5,8.1,0.492,16.4,30.6,0.227,NA,NA
Georgia,33,18,15,0.545,10.24,8.87,7,11,11,4,4,9,2247,2202,1340,778,1975,0.394,247,743,0.332,399,547,0.729,363,1124,347,195,103,318,665,65.3,100.6,0.277,0.376,0.493,46.4,44.6,8.9,8.6,0.456,12.5,28.9,0.202,NA,NA
Gonzaga,37,32,5,0.865,18.44,2.6,17,1,15,1,10,1,3091,2505,1500,890,2178,0.409,272,777,0.35,453,633,0.716,316,1160,411,190,101,455,681,69.7,95.8,0.291,0.357,0.505,44.0,46.2,7.3,7.4,0.471,15.5,22.9,0.208,4.0,S16
Grand Canyon,34,22,12,0.647,3.78,-4.8,9,5,16,3,3,7,2512,2213,1370,767,1906,0.402,161,580,0.278,518,734,0.706,357,1238,328,203,81,511,746,70.3,91.9,0.385,0.304,0.491,48.6,42.8,8.4,6.7,0.445,18.5,28.3,0.272,NA,NA
Green Bay,33,13,20,0.394,-8.51,-4.08,7,11,10,6,2,13,2517,2499,1330,899,2087,0.431,253,811,0.312,448,631,0.71,372,1307,450,229,143,450,623,74.1,101.4,0.302,0.389,0.524,51.3,50.1,9.3,11.8,0.491,15.9,29.1,0.215,NA,NA
Hampton,34,18,16,0.529,-9.37,-9.56,11,4,11,3,5,11,2703,2603,1370,913,2175,0.42,258,786,0.328,519,761,0.682,409,1323,454,196,121,438,643,75.0,101.3,0.35,0.361,0.513,49.1,49.7,7.6,7.8,0.479,14.7,29.3,0.239,NA,NA
Hartford,33,19,14,0.576,-5.54,-5.26,11,5,9,7,9,6,2326,2318,1325,820,1869,0.439,262,767,0.342,416,622,0.669,322,1149,453,194,98,407,561,67.7,103.4,0.333,0.41,0.535,51.1,55.2,8.7,9.3,0.509,15.8,28.1,0.223,NA,NA
Harvard,32,18,14,0.563,-0.28,-1.7,12,2,10,2,6,11,2182,2129,1305,725,1718,0.422,233,682,0.342,446,606,0.736,250,1030,395,214,79,405,545,66.5,98.1,0.353,0.397,0.531,48.0,54.5,9.9,7.6,0.49,16.8,23.1,0.26,NA,NA
Hawaii,30,17,13,0.567,-2.33,-2.51,8,8,13,7,4,5,2104,2071,1215,714,1618,0.441,196,590,0.332,447,619,0.722,232,965,299,187,87,423,638,68.9,98.9,0.383,0.365,0.542,49.2,41.9,8.9,8.6,0.502,18.1,24.1,0.276,NA,NA
Holy Cross,31,12,19,0.387,-9.92,-5.82,8,10,6,7,6,10,1972,2099,1250,713,1653,0.431,260,735,0.354,413,561,0.736,330,1074,425,196,66,399,469,63.7,105.4,0.339,0.445,0.547,55.0,59.6,9.8,7.0,0.51,17.2,32.0,0.25,NA,NA
Houston,35,27,8,0.771,15.99,4.16,14,4,15,0,6,5,2685,2271,1400,744,1887,0.394,231,715,0.323,552,785,0.703,320,1126,386,175,92,457,648,68.5,94.7,0.416,0.379,0.502,45.4,51.9,7.3,7.1,0.455,16.8,25.3,0.293,6.0,R32
Illinois,32,14,18,0.438,8.5,7.53,4,14,12,6,1,10,2426,2362,1295,788,1669,0.472,200,582,0.344,586,802,0.731,295,1063,410,203,150,543,654,70.8,103.1,0.481,0.349,0.576,50.2,52.0,8.9,12.1,0.532,20.9,31.1,0.351,NA,NA
Indiana,31,16,15,0.516,9.89,8.25,9,9,12,6,3,8,2229,2178,1255,773,1752,0.441,235,640,0.367,397,564,0.704,315,1055,404,201,124,417,587,67.5,102.8,0.322,0.365,0.539,49.0,52.3,9.5,10.6,0.508,17.1,29.5,0.227,NA,NA
Iona,34,20,14,0.588,0.75,-2.19,11,7,8,3,7,8,2702,2602,1385,969,2102,0.461,267,745,0.358,397,602,0.659,379,1280,505,172,95,464,577,71.5,105.1,0.286,0.354,0.545,52.8,52.1,6.9,7.7,0.525,16.3,30.7,0.189,15.0,R64
Iowa State,31,13,18,0.419,6.88,9.49,4,14,9,7,0,10,2258,2339,1250,856,1936,0.442,261,769,0.339,366,513,0.713,353,1158,445,185,107,356,553,69.6,107.6,0.265,0.397,0.537,50.5,52.0,8.5,8.8,0.51,14.0,30.7,0.189,NA,NA
Iowa,33,14,19,0.424,8.13,7.13,4,14,9,6,1,10,2630,2597,1330,953,2061,0.462,284,755,0.376,407,579,0.703,338,1092,537,232,97,365,645,71.0,110.0,0.281,0.366,0.556,46.5,56.3,9.8,7.4,0.531,13.5,28.0,0.197,NA,NA
Jacksonville State,36,23,13,0.639,-0.3,-4.87,11,7,12,4,9,8,2587,2369,1450,821,2016,0.407,275,836,0.329,452,642,0.704,336,1169,417,228,93,473,627,67.8,96.3,0.318,0.415,0.51,46.0,50.8,9.3,6.5,0.475,16.9,25.9,0.224,NA,NA
Kansas State,37,25,12,0.676,12.85,8.74,10,8,14,3,6,5,2630,2478,1485,842,1980,0.425,261,791,0.33,533,728,0.732,386,1259,459,208,91,533,673,66.6,100.3,0.368,0.399,0.533,52.6,54.5,8.4,7.1,0.491,18.6,31.7,0.269,9.0,E8
Kansas,39,31,8,0.795,21.39,11.88,13,5,14,3,8,3,3174,2803,1565,1031,2419,0.426,315,947,0.333,424,595,0.713,453,1371,500,216,138,501,656,70.2,102.0,0.246,0.391,0.519,49.7,48.5,7.9,9.9,0.491,15.6,31.0,0.175,1.0,F4
Kent State,34,17,17,0.5,-3.73,-1.76,9,9,13,3,2,11,2482,2502,1370,892,1998,0.446,248,735,0.337,470,656,0.716,352,1194,468,190,106,438,632,70.3,104.0,0.328,0.368,0.542,49.5,52.5,7.9,8.4,0.509,15.9,29.8,0.235,NA,NA
Kentucky,37,26,11,0.703,17.24,10.73,10,8,16,2,4,6,2840,2599,1485,905,2242,0.404,287,955,0.301,502,725,0.692,437,1240,472,212,134,436,761,69.8,100.3,0.323,0.426,0.502,46.4,52.2,8.2,8.5,0.468,14.4,30.6,0.224,5.0,S16
Lafayette,31,10,21,0.323,-9.77,-6.04,7,11,8,6,2,14,2207,2307,1245,856,1886,0.454,247,716,0.345,348,498,0.699,301,1088,391,184,94,318,543,68.9,107.6,0.264,0.38,0.543,51.5,45.7,8.6,9.4,0.519,13.0,26.9,0.185,NA,NA
Liberty,37,22,15,0.595,-2.68,-6.24,9,9,13,7,7,6,2621,2353,1510,790,1899,0.416,316,864,0.366,457,626,0.73,237,1096,431,218,89,454,636,64.1,97.2,0.33,0.455,0.536,46.9,54.6,9.0,7.8,0.499,17.1,19.7,0.241,NA,NA
Lipscomb,33,23,10,0.697,-2.1,-3.8,10,4,13,2,10,7,2708,2564,1340,898,2002,0.449,249,730,0.341,519,751,0.691,292,1169,444,233,144,511,712,77.0,99.4,0.375,0.365,0.544,47.8,49.4,9.0,11.7,0.511,17.8,23.9,0.259,15.0,R64
Long Island University,35,18,17,0.514,-8.6,-8.19,10,8,12,4,5,11,2696,2674,1405,973,2209,0.44,242,743,0.326,486,702,0.692,401,1275,458,232,91,423,714,72.9,104.5,0.318,0.336,0.526,49.0,47.1,9.1,7.3,0.495,14.3,29.5,0.22,16.0,R68
Louisiana,34,27,7,0.794,7.58,-2.55,16,2,14,1,10,4,2829,2408,1365,849,1958,0.434,212,631,0.336,498,721,0.691,329,1099,367,197,105,506,637,72.7,97.1,0.368,0.322,0.523,45.3,43.2,7.9,8.2,0.488,18.0,27.0,0.254,NA,NA
Louisiana State,33,18,15,0.545,10.93,8.02,8,10,14,4,3,8,2559,2463,1325,875,1922,0.455,277,785,0.353,436,626,0.696,361,1130,418,186,113,450,593,69.4,107.1,0.326,0.408,0.555,50.6,47.8,8.1,9.8,0.527,16.9,31.5,0.227,NA,NA
Louisville,36,22,14,0.611,14.3,9.07,9,9,16,6,4,7,2721,2533,1460,913,2208,0.413,249,757,0.329,456,646,0.706,438,1331,404,217,115,482,609,69.7,99.5,0.293,0.343,0.504,50.3,44.2,8.5,8.3,0.47,16.1,31.4,0.207,NA,NA
Loyola (IL),38,32,6,0.842,10.37,1.8,15,3,14,1,9,4,2721,2377,1520,877,2118,0.414,254,786,0.323,369,523,0.706,335,1158,439,252,119,484,627,65.9,94.9,0.247,0.371,0.502,48.7,50.1,10.1,9.4,0.474,17.0,25.4,0.174,11.0,F4
Manhattan,31,14,17,0.452,-5.04,-4.13,9,9,8,3,5,8,2147,2175,1260,735,1681,0.437,214,620,0.345,491,689,0.713,335,1045,435,241,69,458,637,67.5,102.3,0.41,0.369,0.542,50.4,59.2,11.3,6.5,0.501,18.6,32.0,0.292,NA,NA
Marquette,35,21,14,0.6,12.5,9.7,9,9,13,7,5,5,2846,2748,1415,960,2010,0.478,244,679,0.359,584,782,0.747,334,1160,523,206,93,450,593,70.4,110.4,0.389,0.338,0.577,51.0,54.5,8.3,8.0,0.538,15.9,29.5,0.291,NA,NA
Marshall,36,25,11,0.694,4.21,0.44,12,6,15,2,6,8,3017,2849,1455,1059,2399,0.441,265,747,0.355,466,684,0.681,458,1466,539,239,95,515,675,76.3,102.7,0.285,0.311,0.523,53.3,50.9,8.6,7.8,0.497,15.9,31.5,0.194,13.0,R32
Maryland-Baltimore County,36,25,11,0.694,-2.02,-3.84,12,4,15,2,9,7,2630,2466,1440,883,2012,0.439,282,819,0.344,418,618,0.676,339,1289,458,238,96,529,678,69.2,99.0,0.307,0.407,0.535,50.9,51.9,9.6,8.4,0.509,18.7,27.4,0.208,16.0,R32
Maryland,32,19,13,0.594,13.78,7.94,8,10,15,3,2,8,2338,2140,1285,781,1909,0.409,244,723,0.337,334,452,0.739,334,994,408,214,113,351,587,66.6,100.1,0.237,0.379,0.504,46.4,52.2,10.0,10.5,0.473,14.2,28.4,0.175,NA,NA
Massachusetts,33,13,20,0.394,-1.65,1.1,5,13,11,6,1,11,2374,2465,1350,879,1927,0.456,227,654,0.347,480,640,0.75,330,1132,526,209,109,375,504,67.3,108.4,0.332,0.339,0.552,51.1,59.8,9.2,9.2,0.515,14.4,29.6,0.249,NA,NA
Memphis,34,21,13,0.618,1.81,2.16,10,8,14,5,5,5,2408,2420,1380,841,1947,0.432,296,801,0.37,442,630,0.702,395,1118,502,248,117,433,701,66.3,105.9,0.324,0.411,0.539,48.9,59.7,10.8,9.8,0.508,16.2,33.8,0.227,NA,NA
Mercer,34,19,15,0.559,-0.87,-3.5,11,7,11,3,7,9,2561,2373,1380,812,1859,0.437,317,893,0.355,432,601,0.719,275,996,502,202,119,397,626,65.8,104.6,0.323,0.48,0.553,45.9,61.8,8.9,10.8,0.522,15.6,24.5,0.232,NA,NA
Miami (FL),32,22,10,0.688,12.83,6.96,11,7,11,3,8,4,2361,2173,1290,794,1841,0.431,215,655,0.328,368,517,0.712,314,1088,423,182,108,412,526,67.8,99.4,0.281,0.356,0.521,49.4,53.3,8.3,9.0,0.49,16.5,28.3,0.2,6.0,R64
